20260304  ;GA160VSDA3                    ;T314462010     ;APF296903 ;EK08F;K154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
20260112  ;ZT132VSD STD                  ;T314732007     ;APF296474 ;EM40F;K171;30;0        ;3;SIGRID.VAN.REETH              ;
20260414  ;ZE4                           ;T314777003     ;APF296041 ;EO27F;K114;30;0        ;H;SIGRID.VAN.REETH              ;
20260416  ;ZE4                           ;T314777004     ;APF296042 ;EO28F;K114;30;0        ;H;SIGRID.VAN.REETH              ;
20260219  ;ZT90VSD+                      ;T314875004     ;APF295979 ;EP01F;K147;30;0        ;2;SIGRID.VAN.REETH              ;
20260316  ;ZR315                         ;T314965010     ;APF296757 ;EP82F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260316  ;ER425_A1                      ;T314965011     ;APF296863 ;EP83F;K789;30;0        ;I;KIRSTEN.BAUWENS               ;
20260130  ;ZT90 STD                      ;T314967013     ;APF296028 ;EP88F;K152;30;0        ;2;SIGRID.VAN.REETH              ;
20260206  ;ZT90 STD                      ;T314967014     ;APF296061 ;EP89F;K152;30;0        ;2;SIGRID.VAN.REETH              ;
20260309  ;ZR160                         ;T314968016     ;APF296050 ;EP94F;K175;30;0        ;3;SIGRID.VAN.REETH              ;
20260310  ;ZR160                         ;T314968017     ;APF296066 ;EP95F;K175;30;0        ;3;SIGRID.VAN.REETH              ;
20260311  ;ZR160                         ;T314968018     ;APF296124 ;EP97F;K175;30;0        ;3;SIGRID.VAN.REETH              ;
20260204  ;ZT75 STD                      ;T315030004     ;APF296083 ;EQ36F;K152;30;0        ;2;SIGRID.VAN.REETH              ;
20260202  ;ZT90VSD STD                   ;T315034003     ;APF296079 ;EQ63F;K152;30;0        ;2;SIGRID.VAN.REETH              ;
20260323  ;ZR75VSD+                      ;T315067006     ;APF296029 ;EQ86F;K145;30;0        ;2;SIGRID.VAN.REETH              ;
20260213  ;ZT90 STD                      ;T315113031     ;APF296080 ;ER58F;K152;30;0        ;2;SIGRID.VAN.REETH              ;
20260216  ;ZT90 STD                      ;T315113032     ;APF296085 ;ER59F;K152;30;0        ;2;SIGRID.VAN.REETH              ;
20260217  ;ZT90 STD                      ;T315113033     ;APF296152 ;ER60F;K152;30;0        ;2;SIGRID.VAN.REETH              ;
20260218  ;ZT90 STD                      ;T315113034     ;APF296170 ;ER61F;K152;30;0        ;2;SIGRID.VAN.REETH              ;
20260219  ;ZT90 STD                      ;T315113035     ;APF296215 ;ER62F;K152;30;0        ;2;SIGRID.VAN.REETH              ;
20260324  ;ZT355VSD+                     ;T315251028     ;APF296878 ;ET24F;K244;30;0        ;3;SIGRID.VAN.REETH              ;
20260129  ;ZS4VSD                        ;T315360006     ;APF296178 ;EU52F;K361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260403  ;ZR315                         ;T315364002     ;APF296243 ;EV18F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260424  ;ZH560+'                       ;T315365005     ;APF296128 ;EU72F;V196;30;0        ;6;SOFIE.MAMPAEY                 ;
20260424  ;ZH560+'                       ;T315365006     ;APF296127 ;EV23F;V196;30;0        ;6;SOFIE.MAMPAEY                 ;
20260401  ;ZR315                         ;T315608005     ;APF296885 ;EW66F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260126  ;ZE3PVSD_A1                    ;T315615003     ;APF296430 ;EW95F;K363;30;0        ;*;SOFIE.MAMPAEY                 ;
20260410  ;ZH710'                        ;T315624012     ;APF296144 ;EX13F;V351;30;0        ;6;SOFIE.MAMPAEY                 ;
